Date,Open,High,Low,Close,Adj Close,Volume
11-09-2017,445,446.100006,437,439.274994,397.772827,688154
12-09-2017,440.5,443.774994,439.524994,441.924988,400.172485,533994
13-09-2017,442.5,443.875,440.5,441.774994,400.036621,817926
14-09-2017,443.200012,448.149994,440.799988,446.149994,403.998291,543606
15-09-2017,447.5,456.125,446.5,454.299988,411.378296,1018120
18-09-2017,455,458.975006,453.25,454.225006,411.310394,554976
19-09-2017,455.049988,457.700012,451.825012,455.649994,412.600739,349404
20-09-2017,457.649994,458,453.774994,456,412.917694,244496
21-09-2017,456.25,457.625,454.225006,454.774994,411.808441,279182
22-09-2017,454.100006,454.950012,444.200012,449.024994,406.601654,408774
25-09-2017,450.5,451.075012,445,448.325012,405.967834,311188
26-09-2017,448,454.024994,447.25,453.225006,410.404877,1044498
27-09-2017,452.5,453.975006,447.549988,449.325012,406.873352,270988
28-09-2017,449,451.975006,446.524994,447.850006,405.53772,222804
29-09-2017,450,451.125,447.549988,449.375,406.91861,483982
03-10-2017,454,455.825012,451,451.975006,409.272919,212234
04-10-2017,451.975006,452.475006,448.725006,449.899994,407.394012,199136
05-10-2017,449.5,452.600006,449.350006,451.549988,408.888062,236624
06-10-2017,453.299988,460.299988,451.524994,459.725006,416.290771,406128
09-10-2017,461,464.299988,457.149994,461.825012,418.192383,240892
10-10-2017,470,472.924988,464.549988,467.799988,423.602814,521040
11-10-2017,468,468.850006,464.075012,465.299988,421.33905,343744
12-10-2017,465,467.325012,460,463.575012,419.777039,671688
13-10-2017,465.024994,467,463.799988,465.950012,421.927673,2456158
16-10-2017,467.5,471,466.75,469.649994,425.278046,440212
17-10-2017,467.5,468.700012,465.125,465.725006,421.723907,384966
18-10-2017,464.5,465,461.625,462.225006,418.554596,371582
19-10-2017,465,466.674988,462.924988,463.549988,419.754333,201534
23-10-2017,464.100006,471.399994,464.100006,469.825012,425.436554,526916
24-10-2017,472.5,473.75,462,463.375,419.595917,891450
25-10-2017,460,472.075012,457.625,467.700012,423.512268,832100
26-10-2017,470.075012,475.174988,470.075012,473.75,428.990692,1054584
27-10-2017,477.5,478.524994,472.5,473.725006,428.968079,798798
30-10-2017,477,477.5,470.5,472.325012,427.700348,1028592
31-10-2017,461.700012,465.174988,460,460.825012,423.109558,424808
01-11-2017,462,464.475006,461,463.125,425.221283,235336
02-11-2017,462,463.274994,459.899994,461.450012,423.68338,216208
03-11-2017,461.350006,464.700012,459,463.325012,425.404968,149680
06-11-2017,462.5,467.424988,461.174988,464.299988,426.30011,244478
07-11-2017,464.25,479.899994,463.5,477.850006,438.741119,831458
08-11-2017,479.125,480.75,473.649994,475.975006,437.019623,317116
09-11-2017,479.25,481,474.575012,477.299988,438.236145,289006
10-11-2017,477.299988,481.375,475.100006,480.299988,440.990662,194860
13-11-2017,480.299988,484.450012,474.549988,475.899994,436.950745,2551688
14-11-2017,475,477.200012,472,474.725006,435.871948,149232
15-11-2017,473.5,476.725006,472.5,475.975006,437.019623,168822
16-11-2017,475.575012,497.725006,474.424988,494.299988,453.844849,1291582
17-11-2017,494.899994,494.899994,481.5,485.475006,445.742096,594360
20-11-2017,484.850006,485,478.674988,480.674988,441.33493,291142
21-11-2017,480.674988,485.774994,479.825012,483.200012,443.65329,203988
22-11-2017,482.5,485.424988,481.25,483.149994,443.607391,163740
23-11-2017,485,497.174988,484.924988,495.700012,455.130219,623972
24-11-2017,494.549988,509.600006,494.549988,504.975006,463.646179,982538
27-11-2017,500,502.5,497,498.75,457.930664,344912
28-11-2017,498.450012,500.075012,490.75,492.25,451.962616,306144
29-11-2017,494.5,496,490.75,491.649994,451.411682,127168
30-11-2017,494.5,494.899994,483.674988,487.475006,447.578461,256982
01-12-2017,488.75,491.5,478.225006,479.25,440.026581,287040
04-12-2017,491.5,498.475006,484.825012,492.649994,452.329834,810002
05-12-2017,493,501.299988,489.649994,492.200012,451.916687,618270
